"lookupVariable","lookupValue","newVariable","newValue","source"
"status","i","status","1","from paper[D Barneche]"
"status","s","status","0","from paper[D Barneche]"
"status","d","status","3","from paper[D Barneche]"
"status","cd","status","2","from paper[D Barneche]"
"","","species","Sequoia sempervirens","from paper[D Barneche]"
"","","growingCondition","FW","from paper[D Barneche]"
"","","pft","EA","from paper[D Barneche]"
"","","vegetation","TempF","from paper[D Barneche]"
"","","map","1300","from paper[D Barneche]"
"","","latitude","39.37278","from paper[D Barneche]"
"","","longitude","-123.6556","from paper[D Barneche]"
"","","location","Jackson Demonstration State Forest, California, USA","from paper[D Barneche]"
